bac,brevet,lm,sup,prix,gf,pleiade,gouv
je n'ai pas oublie,tant que la terre durera,colette,la route des flandres,le jardin d acclimatation,les aventures de telemaque,eugene ionesco,
sphinx,l’enfant,andre maurois,le bel inconnu,la faculte des songes,jane eyre,virginia woolf,
madrigal,le déménagement,marcel ayme,l'adolescence clémentine,mervale,le cas etrange du dr jekyll et de m  hyde,george sand,
le temps,le voyage de monsieur perrichon,gustave lanson,les amours de psyché et de cupidon,amour nuptial,l espece particuliere et autres nouvelles,joseph arthur de gobineau,
l age d homme,le vin de solitude,julien benda,"la double inconstance, le jeu de l'amour et du hasard",la verite sur marie,volupte,blaise cendrars,
la valise,la femme gelée,charles du bos,la chartreuse de parme,en attendant le vote des betes sauvages,recits fantastiques,charles peguy,
les regrets,le deuxième sexe,alain,alcools,histoire de gotton connixloo,hiver caraïbe,octavio paz,
le mondain,la boue,gabriel marcel,"lais, éd. honoré champion",wanderweg,paul et virginie,henrik ibsen,
le pere goriot,balzac et la petite tailleuse chinoise,jacques prevert,"le tiers livre, éd. droz",les champs d honneur,sylvie,jean d ormesson,
tu as bien fait de partir,livret de famille,rene char,"bérénice, mithridate, britannicus, in théâtre complet, coll. folio",l amant,histoire de la litterature française,alphonse de lamartine,
seuls,l'enfant de sous le pont,henri michaux,"les égarements du cœur et de l'esprit, coll. gf-flammarion",le chasseur zero,boule de suif et 13 autres histoires de guerre,gustave flaubert,
l'oeillet,ce voyage,saint john perse,"poésies, coll. poésie/gallimard",laloi,don quichottepaulinecandideles liaisons dangereusesla petite fadettela maison tellier   une partie de campagne et autres contesalice au pays des merveilles   de l autre côte du miroir et de ce qu alice y trouvaune maison de poupee,aristote,
a mademoiselle de chantepie,l'homme qui m'aimait tout bas,joe bousquet,"la condition humaine, éd. gallimard, coll. folio",terrasserome,les lauriers sont coupes,moliere,
paix,la première gorgée de bière,pierre jean jouve,la mort le roi artu,l empreinte de dieu,la princesse de montpensier,charles baudelaire,
poesie la vie entiere,de l’angelus de l’aube à l’angelus du soir,pierre emmanuel,"les regrets, les antiquités de rome, éd. classiques garnier",gaston et gustave,sang,henry james,
