date,auteur,titre,fabula
1852,alexandre dumas,la comtesse de charny,True
1852,paul feval,la reine des epees,False
1852,alphonse de lamartine,graziella,True
1852,du terrail pierre ponson,la baronne trepassee,False
1852,du terrail pierre ponson,les cavaliers de la nuit,False
1852,emile souvestre,comtes,False
1852,emile souvestre,dans la prairie,False
1853,chamfleury,les souffrances du professeur delteil,False
1853,champfleury,les aventures de mademoiselle mariette,False
1853,de la giraudiere hippolyte de chavannes,les petits voyageurs en californie,False
1853,gustave desnoiresterres,un amour en diligence,False
1853,camp maxime du,memoires d'un suicide,False
1853,alexandre dumas,les drames de la mer,True
1853,leon gozlan,les vendanges,False
1853,alphonse karr,les femmes,False
1853,jules poulain,le dartmoor ou les deux soeurs scenes de la vie anglaise,False
1853,george sand,la fauvette du docteur,True
1853,george sand,les maitres sonneurs,True
1853,eugene sue,les mysteres du peuple,True
1853,pierre zaccone,eric le mendiant,False
1854,d aurevilly jules barbey,l ensorcelee,True
1854,charles barthelemy,histoire de la bretagne ancienne et moderne,False
1854,anais de bassanville,les primeurs de la vie ou bonheurs joies et douleurs de la jeunesse,False
1854,de plancy jacques collin,les tribulations de robillard,False
1854,alexandre dumas,catherine blum,True
1854,alexandre dumas,la jeunesse de pierrot,True
1854,alexandre dumas,le capitaine richard,True
1854,alexandre dumas,les mohicans de paris,True
1854,alexandre dumas,les mohicans de paris,True
1854,alexandre dumas,les mohicans de paris,True
1854,alexandre dumas,les mohicans de paris,True
1854,alexandre dumas,les mohicans de paris,True
1854,alexandre dumas,les mohicans de paris,True
1854,paul feval,les parvenus,False
1854,alphonse karr,histoire d un pion,False
1854,gerard de nerval,promenades et souvenirs,True
1855,honore de balzac,les paysans,True
1855,honore de balzac,les petits bourgeois,True
1855,charles barbara,l'assassinat du pont rouge,False
1855,eugene chapus,les soirees de chantilly,False
1855,alexandre dumas,la derniere annee de marie dorval,True
1855,alexandre dumas,le page du duc de savoie,True
1855,alexandre dumas,le page du duc de savoie,True
1855,alexandre dumas,le page du duc de savoie,True
1855,paul feval,oeuvres,False
1855,jules gerard,la chasse au lion,False
1855,gerard de nerval,aurelia,True
1855,louis reybaud,la vie de l employe,False
1855,louis reybaud,scenes de la vie moderne,False
1855,l. roche,la maison du dimanche,False
1855,george sand,kourroglou,True
1855,george sand,melchior,True
1855,armand de solignac,le gateau des rois souvenirs d enfance,False
1855,stendhal,chroniques italiennes,True
1855,louis ulbach,l amour et la mort,False
1856,alexandre dumas,memoires d une aveugle,True
1856,alexandre dumas,un cadet de famille,True
1856,paul feval,la louve,False
1856,paul feval,la louve,False
1856,paul feval,madame gil blas souvenirs et aventures d une femme de notre temps,False
