,doc_name,date,auteur,titre,canon_roman,canon_auteur,gender,bac,brevet,lm,sup,prix,gf,pleiade,gouv
117,1838_Dupin-Antoinette_Comment-tout-finit__tome-1),1838,antoinette dupin,comment tout finit,non_canon,False,female,0,0,0,0,0,0,0,0
118,1838_Gautier-Theophile_Fortunio,1838,theophile gautier,fortunio,non_canon,True,male,0,0,1,0,0,0,1,0
119,1838_Karr-Alphonse_Genevieve,1838,alphonse karr,genevieve,non_canon,False,male,0,0,0,0,0,0,0,0
120,1838_Kock-Paul-de_Madeleine,1838,paul de kock,madeleine,non_canon,False,male,0,0,0,0,0,0,0,0
121,1838_Wey-Francis_Les-enfants-du-marquis-de-Ganges-ou-Les-expiations,1838,francis wey,les enfants du marquis de ganges ou les expiations,non_canon,False,male,0,0,0,0,0,0,0,0
122,1839_Borel-Petrus_Madame-Putiphar,1839,petrus borel,madame putiphar,non_canon,False,male,0,0,0,0,0,0,0,0
123,1839_Dumas-Alexandre-Pere_Blanche-de-Beaulieu-et-autres-histoires,1839,alexandre pere dumas,blanche de beaulieu et autres histoires,non_canon,True,male,0,0,0,0,0,0,0,0
124,1839_Dumas-Alexandre_Acte,1839,alexandre dumas,acte,non_canon,True,male,0,0,0,0,0,0,1,0
125,1839_Dumas-Alexandre_Aventures-de-Lyderic,1839,alexandre dumas,aventures de lyderic,non_canon,True,male,0,0,0,0,0,0,1,0
126,1839_Karr-Alphonse_Clotilde,1839,alphonse karr,clotilde,non_canon,False,male,0,0,0,0,0,0,0,0
127,1839_Stendhal_La-Chartreuse-de-Parme,1839,stendhal,la chartreuse de parme,canon,True,male,1,0,1,1,0,1,1,1
128,1839_Stendhal_Le-coffre-et-le-revenant,1839,stendhal,le coffre et le revenant,non_canon,True,male,0,0,1,0,0,0,1,0
129,1840_Dumas-Alexandre_Le-Capitaine-Pamphile,1840,alexandre dumas,le capitaine pamphile,non_canon,True,male,0,0,0,0,0,0,1,0
130,1840_Dumas-Alexandre_Le-maitre-d-armes,1840,alexandre dumas,le maitre d armes,non_canon,True,male,0,0,0,0,0,0,1,0
131,1840_Dumas-Alexandre_Les-aventures-de-John-Davys,1840,alexandre dumas,les aventures de john davys,non_canon,True,male,0,0,0,0,0,0,1,0
132,1840_Eyma-Xavier_Le-Medaillon,1840,xavier eyma,le medaillon,non_canon,False,male,0,0,0,0,0,0,0,0
133,1840_Granier-de-Cassagnac-Adolphe_Danae,1840,de cassagnac adolphe granier,danae,non_canon,False,male,0,0,0,0,0,0,0,0
134,1840_Merimee-Prosper_Colomba,1840,prosper merimee,colomba,non_canon,True,male,0,0,1,0,0,0,1,0
135,1840_Poignant-Adolphe_Caen-en-1786-chronique-normande,1840,adolphe poignant,caen en 1786 chronique normande,non_canon,False,male,0,0,0,0,0,0,0,0
